episode,seed,return,steps,survival_time_s,success,collided,timeout,time_to_collision_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,mean_abs_throttle,mean_abs_delta_throttle,min_ttc_seen
0,41000,-32.44861941418591,27,5.4,False,True,False,5.4,4.367614876347728,0.3076923076923077,0.5384615384615384,0.18152754198483848,0.12242610297269291,0.6829004274403765
1,41001,-50.22723088368615,40,8.0,False,True,False,8.0,5.895705192229331,1.0,0.0,0.3026122776558623,0.12334981486201287,0.5258265880712465
2,41002,-38.76988935703182,54,10.8,False,True,False,10.8,3.960937918562951,0.0,1.0,0.37872764302624595,0.1282358600033654,0.7149159677476773
3,41003,97.1957754311587,69,13.8,True,False,False,,3.717258945107459,0.15625,0.71875,0.3586478472241889,0.06291128133518109,0.5738716324780347
4,41004,70.2419592320917,86,17.2,True,False,False,,3.3112617108556868,0.08333333333333333,0.8611111111111112,0.4299407573308536,0.09384521893983663,0.5591837061286005
5,41005,28.058080686914813,73,14.6,True,False,False,,4.805630713701247,0.2916666666666667,0.5416666666666666,0.4000261809727917,0.11496050819142224,0.5601235061492501
6,41006,-17.768504254415994,34,6.8,False,True,False,6.8,4.295419213175773,0.3125,0.5625,0.16256496247232838,0.18033583801897132,0.9543249289981823
7,41007,53.64834552679124,100,20.0,True,False,False,,2.6512606525421147,0.044444444444444446,0.9111111111111111,0.4173540402017534,0.10421436117962003,0.5954084455403452
8,41008,122.08530875120357,68,13.6,True,False,False,,4.6325306268838675,0.3076923076923077,0.5,0.3348028151427998,0.08452804931713377,0.5016153374912691
9,41009,-26.94454837020246,31,6.2,False,True,False,6.2,4.722866524354907,0.2777777777777778,0.3333333333333333,0.31648013362240407,0.1845414428220641,0.9342077543917289
